Model,RMSE_mean,RMSE_std,R2_mean,R2_std
Linear Regression,2.5638631070363243,0.030445244295907788,-0.0014786717909064163,0.003198184816177287
LASSO,2.5622897908139644,0.02733757065694603,-0.00027207540522220517,0.0001684749664294842
Ridge,2.563862003930402,0.030444004126654444,-0.001477817697602113,0.003197007298137476
CART,2.802012950881612,0.08066953510313957,-0.19678610973485267,0.058407978042693556
Random Forest,2.5788341188628396,0.029355171627208868,-0.013221751882305366,0.0036552909878927323
LightGBM,2.619248292326172,0.035524059264883015,-0.045234239386831285,0.01200547338947249
