loss,mae,val_loss,val_mae
8.00913143157959,2.385223865509033,6.476281642913818,2.1951441764831543
6.667619705200195,2.2368016242980957,6.5889363288879395,2.206605911254883
6.604880332946777,2.2260727882385254,6.441454887390137,2.1905744075775146
6.574812412261963,2.2207915782928467,6.473397254943848,2.1930108070373535
6.56508731842041,2.2152161598205566,6.430497646331787,2.191317081451416
6.565425872802734,2.2145917415618896,6.594447612762451,2.208291530609131
6.539180278778076,2.2145888805389404,6.478106498718262,2.196852207183838
6.53347110748291,2.2096617221832275,6.442770004272461,2.19851016998291
6.515381336212158,2.2068166732788086,6.448537826538086,2.1930878162384033
6.531482696533203,2.210219621658325,6.469677925109863,2.1919102668762207
6.467751979827881,2.199021577835083,6.477869510650635,2.2039992809295654
6.458917140960693,2.196882963180542,6.434033393859863,2.19309663772583
6.437458038330078,2.1916444301605225,6.466953754425049,2.1982553005218506
6.426706314086914,2.1918509006500244,6.56011438369751,2.201327085494995
6.423920631408691,2.187448501586914,6.502964496612549,2.208179235458374
